id,num_transacciones,comercio,dias_promedio_entre_compras,varianza_montos,tipo_venta_frecuente,ultima_fecha_compra,fecha_nacimiento,fecha_alta,id_municipio,id_estado,tipo_persona,genero,actividad_empresarial,edad
003d9abe467a91847d566cf455bd2d7d6c8f7e75,867,UBER,0.4457274826789838,603.9020540817934,digital,2023-01-24,1998-02-26,2019-12-21,6115109,61,Persona Fisica Sin Actividad Empresarial,M,EMPLEADO DEL SECTOR SERVICIOS,27
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,502,OXXO,0.782435129740519,5667.04317198432,digital,2023-01-30,1992-02-12,2020-09-29,6822014,68,Persona Fisica Con Actividad Empresarial,M,SERVICIOS DE CONTADURIA Y AUDITORIA INCLUSO TENEDURIA DE LIBROS,33
0132462ee1acf1c37e7411b20bac94e1d19959df,383,OXXO,1.0209424083769634,2644.234537518624,digital,2023-01-30,1987-03-14,2019-12-15,7630028,76,Persona Fisica Sin Actividad Empresarial,M,PRESTACION DE OTROS SERVICIOS TECNICOS,38
0172891ba3000c3150a6985265517678ebbf3b39,320,UBER,1.2319749216300941,2049.8243172061125,digital,2023-01-29,1996-09-03,2019-03-04,6014039,60,Persona Fisica Sin Actividad Empresarial,M,SERVICIOS DE ANALISIS DE SISTEMAS Y PROCESAMIENTO ELECTRONICO DE DATOS,28
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,296,MERCADO PAGO,1.335593220338983,20980.03402421326,digital,2023-01-30,1997-01-22,2017-06-06,6519039,65,Persona Fisica Sin Actividad Empresarial,M,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,28
0222064a58a1778a4d7a9e10088174a532e71553,154,AMAZON,2.4640522875816995,1641.1260642262962,digital,2023-01-29,1999-08-25,2020-04-18,5610007,56,Persona Fisica Sin Actividad Empresarial,M,ESTUDIANTE,25
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,291,APPLE,1.3551724137931034,66170.33150099534,fisica,2023-01-29,1977-08-21,2020-09-30,6519006,65,Persona Fisica Con Actividad Empresarial,M,EMPLEADO DEL SECTOR SERVICIOS,47
029be42d942d33a14cafeef661143d8940a9efa8,180,MICROSOFT,2.195530726256983,6227.896162988826,fisica,2023-01-29,1991-08-19,2020-09-26,6519019,65,Persona Fisica Sin Actividad Empresarial,M,DESPACHO DE OTROS PROFESIONISTAS,33
02a73132fe5c2af6d596eec88629c754d9e9c860,137,UBER,2.860294117647059,1136.0754403606695,digital,2023-01-25,1992-11-19,2021-03-06,5509016,55,Persona Fisica Sin Actividad Empresarial,M,ORGANIZACIONES DE ABOGADOS MEDICOS INGENIEROS Y OTRAS ASOCIACIONES DE PROFESIONALES,32
02b41a28e9c440a28577c71daec52258dc817866,119,7ELEVEN,3.3220338983050848,1221.6571489246544,fisica,2023-01-29,1986-12-13,2020-09-09,5105035,51,Persona Fisica Sin Actividad Empresarial,M,SERVICIOS DE ANALISIS DE SISTEMAS Y PROCESAMIENTO ELECTRONICO DE DATOS,38
03a0f8bca94b5801342b9b479213fc548b3f0dd1,598,MERCADO PAGO,0.6599664991624791,3752.341968476721,digital,2023-01-30,1986-11-07,2020-11-24,6115054,61,Persona Fisica Sin Actividad Empresarial,M,PRESTACION DE OTROS SERVICIOS TECNICOS,38
